Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Stade Briochin,2.68,1.33,1.35,1.09,1.04,0.05,1.60,0.30,1.30,2.68,1.33,1.35,0,0,0,-1.35,58.10,67.64,48.35,0.88,0.41,245,19,23,10,26.14,24.39,9.67,2,3,30,12,15,151.4,79.06,46.27,45.21,158.13,73.63,2,Stade Briochin 0-0 Villefranche,2026-04-10
Fleury,1.68,2.17,-0.49,0.92,2.00,-1.08,0.00,0.17,-0.17,0.92,2.17,-1.25,2,2,0,0.49,58.40,40.62,41.98,0.58,0.83,152,7,11,17,18.97,20.48,5.63,2,10,8,1,18,50.4,28.39,10.27,10.04,19.1,9.09,2,Sochaux 2-2 Fleury,2026-04-10
Sochaux,2.17,1.68,0.49,2.00,0.92,1.08,0.17,0.00,0.17,2.17,0.92,1.25,2,2,0,-0.49,41.60,59.38,51.76,0.83,0.58,163,18,17,11,20.48,18.97,8.36,10,2,30,9,11,127.1,71.61,92.07,89.96,191.1,90.91,1,Sochaux 2-2 Fleury,2026-04-10
Caen,2.05,1.69,0.36,2.03,1.69,0.34,0.01,0.00,0.01,2.05,1.69,0.36,3,0,3,2.64,61.20,54.41,46.27,0.9,0.56,249,11,17,10,18.89,17.86,10.47,7,5,7,3,10,114.6,69.96,18.67,16.92,85.03,58.98,0,Paris 13 Atletico 0-3 Caen,2026-04-10
Paris 13 Atletico,1.69,2.05,-0.36,1.69,2.03,-0.34,0.00,0.01,-0.01,1.69,2.05,-0.36,0,3,-3,-2.64,38.80,45.59,42.30,0.56,0.9,135,7,10,17,17.86,18.89,17.89,5,7,13,4,10,49.2,30.04,91.67,83.08,59.13,41.02,1,Paris 13 Atletico 0-3 Caen,2026-04-10
Concarneau,3.72,2.00,1.72,3.72,1.79,1.93,0.00,0.21,-0.21,3.72,2.00,1.72,1,1,0,-1.72,34.50,28.08,40.13,1.03,0.93,94,10,10,13,9.71,13.98,11.62,5,4,15,3,18,46.3,18.87,73.8,79.3,66.1,31.27,2,Orléans 1-1 Concarneau,2026-04-10
Orléans,2.00,3.72,-1.72,1.79,3.72,-1.93,0.21,0.00,0.21,2.00,3.72,-1.72,1,1,0,1.72,65.50,71.92,52.35,0.93,1.03,315,22,13,10,13.98,9.71,8.67,4,5,35,8,9,199.0,81.13,19.27,20.7,145.27,68.73,0,Orléans 1-1 Concarneau,2026-04-10
Aubagne,1.96,2.56,-0.60,1.91,1.03,0.88,0.05,0.78,-0.73,1.96,1.80,0.16,2,1,1,1.60,40.00,46.92,47.35,0.4,1.23,166,5,11,12,27.5,9.76,11.92,2,3,18,4,21,72.3,44.96,95.8,92.36,115.5,70.37,1,Le Puy Foot 1-2 Aubagne,2026-04-10
Le Puy Foot,2.56,1.96,0.60,1.03,1.91,-0.88,0.78,0.05,0.73,1.80,1.96,-0.16,1,2,-1,-1.60,60.00,53.08,43.71,1.23,0.4,188,16,12,11,9.76,27.5,8.62,3,2,25,8,10,88.5,55.04,7.93,7.64,48.63,29.63,0,Le Puy Foot 1-2 Aubagne,2026-04-10
Quevilly-Rouen Métropole,4.08,1.52,2.56,2.99,1.41,1.58,0.33,0.11,0.22,3.32,1.52,1.80,5,3,2,-0.56,46.50,43.85,47.82,0.8,0.3,170,11,25,15,31.25,50.0,8.05,9,3,13,4,14,91.9,63.29,53.4,58.73,120.47,71.16,1,Châteauroux 3-5 Quevilly-Rouen Métropole,2026-04-10
Châteauroux,1.52,4.08,-2.56,1.41,2.99,-1.58,0.11,0.33,-0.22,1.52,3.32,-1.80,3,5,-2,0.56,53.50,56.15,47.13,0.3,0.8,196,10,15,25,50.0,31.25,13.30,3,9,21,7,11,53.3,36.71,37.53,41.27,48.83,28.84,0,Châteauroux 3-5 Quevilly-Rouen Métropole,2026-04-10
Bourg-Péronnas,0.19,2.04,-1.85,0.16,2.02,-1.86,0.03,0.02,0.01,0.19,2.04,-1.85,0,2,-2,-0.15,44.10,35.63,39.00,0.3,1.8,127,3,2,13,6.67,7.22,19.05,3,6,13,1,10,24.1,16.69,51.67,44.77,12.87,7.14,0,Dijon 2-0 Bourg-Péronnas,2026-04-10
Dijon,2.04,0.19,1.85,2.02,0.16,1.86,0.02,0.03,-0.01,2.04,0.19,1.85,2,0,2,0.15,55.90,64.37,45.31,1.8,0.3,210,16,13,2,7.22,6.67,9.76,6,3,27,7,13,120.3,83.31,63.73,55.23,167.4,92.86,3,Dijon 2-0 Bourg-Péronnas,2026-04-10
Rouen,2.16,1.17,0.99,1.12,1.17,-0.05,0.29,0.0,0.29,1.4,1.17,0.23,1,2,-1,-1.99,61.4,71.02,51.95,1.02,0.31,262,18,17,13,16.67,41.94,6.5,6,4,30,11,22,158.9,86.41,20.2,22.88,120.1,75.69,1,Villefranche 2-1 Rouen,2026-04-03
Villefranche,1.17,2.16,-0.99,1.17,1.12,0.05,0.0,0.29,-0.29,1.17,1.4,-0.23,2,1,1,1.99,38.6,28.98,39.8,0.31,1.02,87,1,13,17,41.94,16.67,10.52,4,6,12,4,15,25.0,13.59,68.07,77.12,38.57,24.31,1,Villefranche 2-1 Rouen,2026-04-03
Sochaux,1.26,1.9,-0.64,0.99,0.81,0.18,0.27,1.09,-0.82,1.26,1.9,-0.64,0,1,-1,-0.36,52.6,52.62,48.07,0.38,0.45,218,5,14,14,36.84,31.11,13.08,8,9,19,5,9,98.9,61.16,47.2,46.79,101.67,55.74,0,Versailles 1-0 Sochaux,2026-04-03
Versailles,1.9,1.26,0.64,0.81,0.99,-0.18,1.09,0.27,0.82,1.9,1.26,0.64,1,0,1,0.36,47.4,47.38,41.97,0.45,0.38,149,9,14,14,31.11,36.84,10.76,9,8,15,5,9,62.8,38.84,53.67,53.21,80.73,44.26,0,Versailles 1-0 Sochaux,2026-04-03
Valenciennes,3.69,2.8,0.89,3.55,1.97,1.58,0.14,0.07,0.07,3.69,2.04,1.65,2,3,-1,-1.89,64.1,68.23,49.08,0.86,0.4,271,17,15,9,17.44,22.5,9.59,6,5,33,9,8,127.3,77.1,17.87,19.49,70.07,47.87,2,Quevilly-Rouen Métropole 3-2 Valenciennes,2026-04-03
Quevilly-Rouen Métropole,2.8,3.69,-0.89,1.97,3.55,-1.58,0.07,0.14,-0.07,2.04,3.69,-1.65,3,2,1,1.89,35.9,31.77,43.97,0.4,0.86,117,4,9,15,22.5,17.44,16.07,5,6,15,7,14,37.8,22.9,73.8,80.51,76.3,52.13,0,Quevilly-Rouen Métropole 3-2 Valenciennes,2026-04-03
Stade Briochin,0.58,1.79,-1.21,0.58,1.74,-1.16,0.0,0.06,-0.06,0.58,1.79,-1.21,1,1,0,1.21,42.1,41.46,44.07,0.2,1.14,167,5,10,16,50.0,14.04,13.41,4,9,12,0,9,66.0,33.73,100.4,83.34,85.37,52.67,0,Caen 1-1 Stade Briochin,2026-04-03
Caen,1.79,0.58,1.21,1.74,0.58,1.16,0.06,0.0,0.06,1.79,0.58,1.21,1,1,0,-1.21,57.9,58.54,47.96,1.14,0.2,256,14,16,10,14.04,50.0,7.22,9,4,23,5,23,129.7,66.27,20.07,16.66,76.73,47.33,1,Caen 1-1 Stade Briochin,2026-04-03
Dijon,0.69,2.39,-1.7,0.41,1.13,-0.72,0.28,0.5,-0.22,0.69,1.63,-0.94,1,3,-2,-0.3,42.0,50.59,45.92,0.28,0.92,174,8,9,11,32.14,11.96,15.09,5,8,15,6,13,57.1,46.31,85.67,89.11,109.67,65.1,0,Fleury 3-1 Dijon,2026-04-03
Fleury,2.39,0.69,1.7,1.13,0.41,0.72,0.5,0.28,0.22,1.63,0.69,0.94,3,1,2,0.3,58.0,49.41,42.43,0.92,0.28,213,8,11,9,11.96,32.14,8.23,8,5,14,1,13,66.2,53.69,10.47,10.89,58.8,34.9,0,Fleury 3-1 Dijon,2026-04-03
